,minimum,maximum
ADNCYC,0.0,3.7192943487896345e-12
CYTDt2pp_copy1,0.0,0.0
CYTDt2pp_copy2,0.0,0.0
ADNK1,0.0,4.74425191702907
CYTDtex,5.7546199113542545e-15,0.0
CYTK1,0.01831444065971835,0.018314440658549865
CYTK2,2.1464824362537812e-13,2.6397885658634594e-14
ADNUC,0.0,1.4816189148707646e-11
DAAD,0.0,-2.334365640119883e-13
DADA,0.0,-4.1159120326708695e-13
DADK,6.232867911000863e-13,-5.029109952512745e-13
DADNt2pp,0.0,0.0
DADNtex,0.0,0.0
DAGK120,0.0,-8.693687274757638e-13
DAGK140,0.0,6.784818479309615e-14
DCAtex,0.0,1.7132590158739432e-17
DCMPtex,0.0,0.0
DCTPD,0.0,-1.480307581674706e-12
DCYTD,0.0,-2.3724279558592914e-13
DCYTt2pp,0.0,0.0
DCYTtex,0.0,0.0
DDCAtexi,0.0,0.0
DDGALK,0.0,0.0
DDGLCNt2rpp,0.0,0.0
DDGLCNtex,0.0,0.0
ADNt2pp_copy1,0.0,0.0
DDGLK,0.0,0.0
DMSOR2,0.0,0.0
DMSOR2pp,0.0,0.0
DDPA,0.037639853428208025,0.0376398534268965
ADNt2pp_copy2,0.0,0.0
DDPGALA,-1.2270678302267472e-14,0.0
DGK1,-1.3284874012778883e-12,4.721895532951592e-12
DGMPtex,0.0,0.0
DMSOtex,0.0,0.0
DMStex,0.0,0.0
DM_4hba_c,2.2578545855403812e-05,2.2578545853885478e-05
DGSNt2pp,1.926058331420982e-14,0.0
ADNtex,1.2026383271971784e-14,0.0
DGSNtex,0.0,0.0
DHAD1,0.08851964464735641,0.08851964464517821
ADOCBIK,0.0,0.0
DHAD2,0.029412859062845555,0.029412859062354177
DHAPT,0.0,-1.6136883238934912e-12
DHAtex,-1.2072827146365402e-13,0.0
DHAtpp,-6.210054387225579e-14,0.0
DHBD,0.0,-5.238717306758748e-15
DM_5drib_c,0.0,1.6840086117619055e-14
DM_aacald_c,6.599559625375248e-13,0.0
DM_hmfurn_c,4.51570917110498e-05,4.515709165610756e-05
DM_oxam_c,0.0,-8.9167451071954e-15
DNMPPA,6.773563756675545e-05,6.773563756416356e-05
DNTPPA,6.773563756645808e-05,6.77356375644969e-05
DHBS,0.0,-5.460957437563552e-13
DHBSH,4.9280754633610576e-14,-4.077952200172381e-13
DHCIND,0.0,0.0
DOGULNR,0.0,0.0
DOPAtex,0.0,0.0
ADOCBLS,0.0,0.0
DPCOAK,5.831947270336293e-05,5.831947270324064e-05
DPR,5.831947270370911e-05,5.831947270235909e-05
DRPA,0.0,-1.2976096224626567e-13
DHCINDO,-2.677958812361364e-14,0.0
DHDPRy,0.03756138538772241,0.037561385386166005
DHDPS,0.037561385387709055,0.037561385387765205
ADOCBLabcpp,-1.5474511529634675e-14,0.0
DHFR,0.002717424180341442,0.002717424180000433
DHFS,6.773563756642485e-05,6.773563756582597e-05
DHNAOT4,0.0,0.0
DSBAO1,0.0,0.0
DSBAO2,0.0,0.0
DSBCGT,0.0,0.0
DSBDR,0.0,0.0
DHNPA2r,6.773563756634465e-05,6.77356375631927e-05
DHORD2,0.0,0.03349218467758384
DSBGGT,0.0,0.0
ADOCBLtonex,2.401147254299406e-14,0.0
DSERDHr,-1.1897498731692195e-12,0.0
DHORD5,0.0,0.0
ADPRDP,0.0,-4.2332260021325457e-13
DHORTS,-0.03349218467790267,-0.0334921846796153
DSERt2pp,0.0,0.0
DSERtex,0.0,0.0
DTMPK,0.002649688542773991,0.002649688542297231
DHPPD,0.0,0.0
DHPPDA2,4.515709171108941e-05,4.515709170891339e-05
DHPS2,6.77356375662321e-05,6.773563754760577e-05
DHPTDCs,4.5157091707825654e-05,4.515709175946915e-05
DTMPtex,-3.226023107958177e-14,0.0
DUMPtex,0.0,0.0
DURIK1,0.0,-4.239901675477919e-13
DHPTPE,0.0,0.0
ADPT,0.0,4.744251917029087
DHQS,0.03763985342810331,0.03763985342811055
DHQTi,0.03763985342822104,0.03763985342775795
DURIPP,-1.4478239955655744e-13,-1.4217219357450434e-13
DURIt2pp,0.0,0.0
DURItex,0.0,0.0
DUTPDP,0.0,-8.658815396500089e-13
DIMPtex,0.0,0.0
DINSt2pp,0.0,0.0
DXPRIi,0.00024188406299910226,0.00024188406299401405
ADSK,0.024937852023715828,0.024937852023592375
DXPS,0.00028704115470937447,0.00028704115470774177
DINStex,-5.960844306311089e-15,0.0
DKGLCNR1,0.0,0.0
DXYLK,0.0,0.0
EDTXS3,0.0,2.6299028882447542e-17
D_LACt2pp,5.386325637726067e-14,0.0
